transaction_id,transaction_number,transaction_timestamp,customer_id,store_id,channel_id,payment_method,currency,gross_amount,total_discount,total_tax,net_total,created_at
1ff139ef-c8e2-494e-9e32-cfa33c8b533e,TXN0000000001,2020-05-24,021b6a0d-61a8-4cbc-8ade-398cf43beb2c,CA_0003,POS,Bank EMI,CAD,3441.29,197.49,421.69,3665.49,2020-05-24
9b55a736-466a-4275-b42c-e09c04a4f36e,TXN0000000002,2022-11-05,021b6a0d-61a8-4cbc-8ade-398cf43beb2c,CA_0012,POS,Corporate Financing,CAD,7415.91,51.12,957.43,8322.22,2022-11-05
7cc08159-f696-4c2e-a973-2a4d13553f93,TXN0000000003,2024-10-05,eafd4024-8a2e-44ff-9c7b-8806fbc1e8ca,DE_0013,POS,American Express,EUR,5792.04,467.51,1011.66,6336.19,2024-10-05
9b214d40-d019-4a13-9c10-173c9930e0bd,TXN0000000004,2024-02-16,7c23c034-0ee5-446d-866b-c6be97f07b2d,AU_0019,POS,Bank EMI,AUD,5367.96,206.01,516.2,5678.15,2024-02-16
4457dcbc-10c1-4a8f-8cee-cf844ab82d53,TXN0000000005,2022-08-18,7c23c034-0ee5-446d-866b-c6be97f07b2d,AU_0020,POS,Apple Financing,AUD,5594.85,146.48,544.85,5993.22,2022-08-18
4884d9b7-8b0c-42f1-9cde-0c0749ff1aae,TXN0000000006,2023-11-17,7c23c034-0ee5-446d-866b-c6be97f07b2d,AU_0004,POS,Visa,AUD,2263.24,193.73,206.95,2276.46,2023-11-17
9fddd05b-d2ee-4c24-8f43-da7a6ecb4e64,TXN0000000007,2024-12-02,5bf8f4d1-a215-4127-9eff-5a7a7c98dc78,CA_0017,POS,Bank EMI,CAD,1475.54,0.0,191.82,1667.36,2024-12-02
77a2dbed-32c0-4b86-b07f-75d444cce9b0,TXN0000000008,2024-10-25,fab1e38e-503b-4a4c-aea5-c8e082d26874,CA_0012,POS,Bank EMI,CAD,2092.02,0.0,271.96,2363.98,2024-10-25
87068033-f3ee-4a12-875c-3856a1a89ee5,TXN0000000009,2024-07-04,fab1e38e-503b-4a4c-aea5-c8e082d26874,CA_0019,POS,Apple Pay,CAD,3160.23,153.57,390.86,3397.52,2024-07-04
7660ad5c-3f5d-43f2-8c91-83afdf38506f,TXN0000000010,2024-05-22,fab1e38e-503b-4a4c-aea5-c8e082d26874,CA_0013,POS,Discover,CAD,4786.73,419.93,567.68,4934.48,2024-05-22
281c4064-92c7-499e-a287-2432c711c295,TXN0000000011,2024-10-10,fab1e38e-503b-4a4c-aea5-c8e082d26874,CA_0008,POS,Cash,CAD,1901.98,190.2,222.54,1934.32,2024-10-10
8a3c376a-5751-4245-854a-f14e747f17c7,TXN0000000012,2024-06-14,fab1e38e-503b-4a4c-aea5-c8e082d26874,CA_0011,POS,Mastercard,CAD,4865.37,65.14,624.02,5424.25,2024-06-14
835b366b-d0e2-40a3-85f8-87ccd0cf146a,TXN0000000013,2024-09-08,fab1e38e-503b-4a4c-aea5-c8e082d26874,CA_0006,POS,Cash,CAD,3711.03,137.19,464.6,4038.44,2024-09-08
a6318584-983f-4484-aca6-65c422b62b68,TXN0000000014,2024-09-22,ae883fdf-898f-4242-a3e4-72b23609f3af,CA_0014,POS,Corporate Financing,CAD,5634.77,459.56,672.78,5847.99,2024-09-22
68bae676-6f60-48f3-b260-ae50c8de41ab,TXN0000000015,2022-10-01,07ce4e84-5edd-4a9f-9e30-c0ec01b8d3b4,AU_0016,POS,American Express,AUD,4586.05,187.34,439.87,4838.58,2022-10-01
05bd426a-7bd3-4b34-98ab-7be917d7e00a,TXN0000000016,2023-10-01,bc97bc83-521f-4f14-afd5-f3bb14ce4f88,AU_0008,POS,Mastercard,AUD,3932.64,0.0,393.26,4325.9,2023-10-01
5b234f03-28cd-4d99-9d3f-1afe90f6772a,TXN0000000017,2019-11-21,bc97bc83-521f-4f14-afd5-f3bb14ce4f88,AU_0007,POS,Bank EMI,AUD,3354.45,277.51,307.7,3384.64,2019-11-21
a87a97bc-212a-4acb-80cc-487ea50988cf,TXN0000000018,2021-11-22,bc97bc83-521f-4f14-afd5-f3bb14ce4f88,AU_0008,POS,Apple Pay,AUD,5342.41,202.61,513.98,5653.78,2021-11-22
f557529a-7ddc-4a76-ba48-be0b41287f19,TXN0000000019,2020-11-04,5a68d428-b07e-4e68-b010-c7e2935fc898,DE_0017,POS,Visa,EUR,4416.48,199.7,801.2,5017.98,2020-11-04
